Linux 6.14.0-37-generic (sameer-HP-Pavilion-Laptop-15-eg2xxx) 	02/03/2026 	_x86_64_	(16 CPU)

06:49:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:50:25 PM  all   24.75    0.00    4.95    0.00    0.00    0.99    0.00    0.00    0.00   69.31
06:50:26 PM  all   24.75    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   71.29
06:50:27 PM  all   21.43    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   75.51
06:50:28 PM  all   25.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   70.00
06:50:29 PM  all   25.51    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   71.43
06:50:30 PM  all   33.33    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   62.63
06:50:31 PM  all   22.77    0.00    1.98    0.00    0.00    1.98    0.00    0.00    0.00   73.27
06:50:32 PM  all   21.43    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   75.51
06:50:33 PM  all   23.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   72.00
06:50:34 PM  all   19.19    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   75.76
06:50:35 PM  all   26.26    0.00    4.04    1.01    0.00    1.01    0.00    0.00    0.00   67.68
06:50:36 PM  all   15.15    0.00    5.05    1.01    0.00    0.00    0.00    0.00    0.00   78.79
06:50:37 PM  all   19.39    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   76.53
06:50:38 PM  all   24.51    0.00    3.92    0.00    0.00    0.98    0.00    0.00    0.00   70.59
06:50:39 PM  all   20.41    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   75.51
06:50:40 PM  all   29.41    0.00    4.90    0.00    0.00    0.98    0.00    0.00    0.00   64.71
06:50:41 PM  all   35.00    0.00    4.00    1.00    0.00    1.00    0.00    0.00    0.00   59.00
06:50:42 PM  all   24.49    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   72.45
06:50:43 PM  all   18.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   76.00
06:50:44 PM  all   33.33    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   62.63
06:50:45 PM  all   22.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   73.00
06:50:46 PM  all   17.17    0.00    4.04    2.02    0.00    0.00    0.00    0.00    0.00   76.77
06:50:47 PM  all   26.53    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   69.39
06:50:48 PM  all   24.24    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   71.72
06:50:49 PM  all   22.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   73.00
06:50:50 PM  all   31.31    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   64.65
06:50:51 PM  all   30.61    0.00    3.06    2.04    0.00    0.00    0.00    0.00    0.00   64.29
06:50:52 PM  all   22.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   72.00
06:50:53 PM  all   26.53    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   70.41
06:50:54 PM  all   23.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   73.00
06:50:55 PM  all   10.10    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   85.86
06:50:56 PM  all   28.28    0.00    3.03    2.02    0.00    1.01    0.00    0.00    0.00   65.66
06:50:57 PM  all   25.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   70.00
06:50:58 PM  all   18.37    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   77.55
06:50:59 PM  all   36.36    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   59.60
06:51:00 PM  all   30.30    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   65.66
06:51:01 PM  all   33.00    0.00    4.00    2.00    0.00    0.00    0.00    0.00    0.00   61.00
06:51:02 PM  all   19.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   77.00
06:51:03 PM  all   21.21    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   74.75
06:51:04 PM  all   22.22    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   74.75
06:51:05 PM  all   31.63    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   63.27
06:51:06 PM  all   14.00    0.00    6.00    2.00    0.00    1.00    0.00    0.00    0.00   77.00
06:51:07 PM  all   22.22    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   73.74
06:51:08 PM  all   21.43    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   73.47
06:51:09 PM  all   33.33    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   60.61
06:51:10 PM  all   32.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
06:51:11 PM  all   28.28    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   66.67
06:51:12 PM  all   31.31    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   63.64
06:51:13 PM  all   14.14    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   81.82
06:51:14 PM  all   24.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   72.00
06:51:15 PM  all   19.80    0.00    3.96    0.99    0.00    0.99    0.00    0.00    0.00   74.26
06:51:16 PM  all   24.24    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   71.72
06:51:17 PM  all   37.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   57.00
06:51:18 PM  all   19.39    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   77.55
06:51:19 PM  all   22.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   72.00
06:51:20 PM  all   31.31    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   64.65
06:51:21 PM  all   17.17    1.01    3.03    0.00    0.00    0.00    0.00    0.00    0.00   78.79
06:51:22 PM  all   32.67    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   62.38
06:51:23 PM  all   22.22    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   72.73
06:51:24 PM  all   33.33    0.00    4.04    1.01    0.00    1.01    0.00    0.00    0.00   60.61
06:51:25 PM  all   20.20    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   74.75
06:51:26 PM  all   14.14    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   81.82
06:51:27 PM  all   14.14    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   81.82
06:51:28 PM  all   23.76    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   71.29
06:51:29 PM  all   27.27    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   69.70
06:51:30 PM  all    1.02    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   93.88
06:51:31 PM  all   42.00    0.00    4.00    2.00    0.00    0.00    0.00    0.00    0.00   52.00
06:51:32 PM  all   35.35    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   59.60
06:51:33 PM  all   13.13    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   81.82
06:51:34 PM  all   10.20    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   86.73
06:51:35 PM  all   23.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   73.00
06:51:36 PM  all   26.00    0.00    4.00    1.00    0.00    1.00    0.00    0.00    0.00   68.00
06:51:37 PM  all   32.32    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   63.64
06:51:38 PM  all   33.33    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   63.64
06:51:39 PM  all   23.23    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   71.72
06:51:40 PM  all   22.22    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   73.74
06:51:41 PM  all   36.36    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   58.59
06:51:42 PM  all   26.26    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   69.70
06:51:43 PM  all   18.18    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   76.77
06:51:44 PM  all   20.20    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   75.76
06:51:45 PM  all   29.29    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   66.67
06:51:46 PM  all   28.28    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   67.68
06:51:47 PM  all   26.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   69.00
06:51:48 PM  all   21.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   74.00
06:51:49 PM  all   26.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   71.00
06:51:50 PM  all   32.65    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   64.29
06:51:51 PM  all   19.80    0.00    3.96    1.98    0.00    0.99    0.00    0.00    0.00   73.27
06:51:52 PM  all   18.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   77.00
06:51:53 PM  all   31.63    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   65.31
06:51:54 PM  all   25.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   70.00
