Linux 6.14.0-37-generic (sameer-HP-Pavilion-Laptop-15-eg2xxx) 	02/03/2026 	_x86_64_	(16 CPU)

08:10:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:12:23 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:12:24 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:25 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:12:26 PM  all   92.93    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    4.04
08:12:27 PM  all   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00    0.00
08:12:28 PM  all   96.08    0.00    2.94    0.00    0.00    0.98    0.00    0.00    0.00    0.00
08:12:29 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:30 PM  all   88.89    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    9.09
08:12:31 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:12:32 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:33 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:34 PM  all   85.15    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   10.89
08:12:35 PM  all   81.82    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   14.14
08:12:36 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:37 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:38 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:39 PM  all   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00    0.00
08:12:40 PM  all   92.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    4.00
08:12:41 PM  all   95.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    1.00
08:12:42 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:43 PM  all   96.04    0.00    1.98    0.00    0.00    1.98    0.00    0.00    0.00    0.00
08:12:44 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:45 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:46 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:47 PM  all   97.03    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:12:48 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:49 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:50 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:12:51 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:52 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:53 PM  all   97.03    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:12:54 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:55 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:56 PM  all   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:57 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:12:58 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:12:59 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:00 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:01 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:02 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:03 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:13:04 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:05 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:06 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:13:07 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:08 PM  all   95.05    0.00    2.97    0.00    0.00    1.98    0.00    0.00    0.00    0.00
08:13:09 PM  all   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00    0.00
08:13:10 PM  all   96.04    0.99    2.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:11 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:12 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:13 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:13:14 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:15 PM  all   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:16 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:17 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:13:18 PM  all   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00    0.00
08:13:19 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:20 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:21 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:22 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:23 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:24 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:13:25 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:26 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:27 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:28 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:29 PM  all   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:30 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:31 PM  all   96.04    0.00    1.98    0.00    0.00    1.98    0.00    0.00    0.00    0.00
08:13:32 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:33 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:34 PM  all   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:35 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:36 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:37 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:38 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:13:39 PM  all   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00    0.00
08:13:40 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:13:41 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:42 PM  all   95.96    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00    0.00
08:13:43 PM  all   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:13:44 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:45 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
