event,time,req_id,user_id,val1,val2
ARRIVAL,3565.336,235,1416,36.321,27928.449
ARRIVAL,3565.904,236,1564,149.876,20656.834
ARRIVAL,3566.098,237,949,56.033,24073.776
ARRIVAL,3566.351,238,1849,40.146,20823.427
ARRIVAL,3567.281,239,1562,73.103,27626.417
COMPLETE,3573.217,125,1621,202.417
ARRIVAL,3576.721,240,275,63.796,25090.815
ARRIVAL,3577.710,241,271,77.219,23510.559
ARRIVAL,3579.381,242,1085,10.398,21574.021
ARRIVAL,3579.540,243,2016,3.822,24294.803
ARRIVAL,3579.872,244,992,19.943,23560.239
ARRIVAL,3580.659,245,467,20.706,20059.145
ARRIVAL,3582.041,246,2003,97.664,29409.016
ARRIVAL,3586.496,247,371,31.098,25437.742
ARRIVAL,3588.882,248,138,54.387,29687.185
ARRIVAL,3597.258,249,97,91.179,21534.548
ARRIVAL,3601.893,250,1349,6.043,23428.916
COMPLETE,3602.122,134,2366,221.171
ARRIVAL,3602.580,251,13,59.240,23360.046
ARRIVAL,3607.864,252,2534,90.476,24212.891
ARRIVAL,3608.305,253,2431,48.634,26978.628
ARRIVAL,3608.655,254,2147,11.159,25866.487
ARRIVAL,3610.931,255,2942,78.033,24280.949
ARRIVAL,3611.745,256,589,81.655,28785.429
ARRIVAL,3612.940,257,2146,196.912,24579.582
ARRIVAL,3616.443,258,1853,11.063,26950.518
ARRIVAL,3618.136,259,1945,30.330,27294.581
ARRIVAL,3619.229,260,412,5.182,20292.107
ARRIVAL,3621.444,261,1489,80.860,22560.693
ARRIVAL,3621.675,262,1883,175.814,27865.325
ARRIVAL,3624.438,263,1744,21.494,22379.392
ARRIVAL,3624.823,264,517,12.063,23321.532
ARRIVAL,3628.639,265,844,70.074,26096.618
COMPLETE,3632.125,19,392,515.354
COMPLETE,3632.279,50,2835,438.011
ARRIVAL,3634.302,266,266,56.521,22758.877
ARRIVAL,3635.701,267,2440,3.028,23830.902
ARRIVAL,3636.113,268,979,157.761,28524.157
ARRIVAL,3637.778,269,2318,206.590,21385.934
COMPLETE,3637.856,131,882,263.317
ARRIVAL,3638.087,270,520,3.215,26599.344
ARRIVAL,3638.137,271,2789,61.572,29325.005
ARRIVAL,3641.632,272,1419,190.127,24559.025
ARRIVAL,3641.693,273,1131,15.837,25236.631
ARRIVAL,3644.079,274,978,92.550,28537.383
ARRIVAL,3644.332,275,557,15.300,29579.021
ARRIVAL,3645.443,276,675,36.266,25262.721
ARRIVAL,3647.180,277,2667,63.025,23760.036
ARRIVAL,3648.006,278,2576,37.594,23637.906
ARRIVAL,3650.012,279,1330,65.415,22646.958
ARRIVAL,3651.076,280,2429,8.552,28651.776
ARRIVAL,3652.261,281,566,25.309,27545.674
COMPLETE,3653.757,17,2930,545.752
ARRIVAL,3654.792,282,2435,10.932,28009.492
ARRIVAL,3655.313,283,105,71.486,22707.105
ARRIVAL,3655.666,284,1667,185.634,28302.539
ARRIVAL,3657.385,285,1582,104.162,25322.761
ARRIVAL,3657.709,286,1639,4.788,23779.853
ARRIVAL,3659.078,287,263,11.635,25663.356
ARRIVAL,3660.864,288,2235,27.155,24970.763
ARRIVAL,3661.262,289,2247,77.547,24133.908
COMPLETE,3664.146,53,130,460.316
ARRIVAL,3665.939,290,2796,4.339,23826.059
ARRIVAL,3667.557,291,1949,19.212,29271.862
COMPLETE,3667.579,76,1741,409.673
ARRIVAL,3669.000,292,310,41.454,22619.629
ARRIVAL,3670.117,293,1941,27.631,27236.317
ARRIVAL,3671.332,294,2748,25.123,23223.921
ARRIVAL,3671.968,295,1823,0.205,23399.933
ARRIVAL,3674.297,296,1884,130.546,28943.020
ARRIVAL,3675.689,297,2024,87.952,21372.109
ARRIVAL,3677.123,298,255,69.209,27237.959
ARRIVAL,3677.647,299,1811,246.687,24571.352
ARRIVAL,3679.619,300,691,100.084,24930.190
ARRIVAL,3684.634,301,348,35.607,24481.439
COMPLETE,3686.506,152,2391,282.519
ARRIVAL,3686.884,302,2494,6.287,29669.512
ARRIVAL,3687.502,303,298,53.616,24527.710
ARRIVAL,3688.501,304,2943,11.855,28297.107
ARRIVAL,3689.187,305,217,10.312,22771.708
ARRIVAL,3691.588,306,2083,1.706,28209.869
ARRIVAL,3695.803,307,2770,26.413,28704.278
ARRIVAL,3698.130,308,2326,84.044,22884.940
