Users,ResponseTime_mean,ResponseTime_ci_lo,ResponseTime_ci_hi,ResponseTime_n,Throughput_mean,Throughput_ci_lo,Throughput_ci_hi,Throughput_n,Goodput_mean,Goodput_ci_lo,Goodput_ci_hi,Goodput_n,Badput_mean,Badput_ci_lo,Badput_ci_hi,Badput_n,Timeouts_mean,Timeouts_ci_lo,Timeouts_ci_hi,Timeouts_n,Util_mean,Util_ci_lo,Util_ci_hi,Util_n
470,3.97092,3.93876,4.00309,15,65.5379,65.2509,65.8249,15,65.4604,65.1666,65.7542,15,0.0775,0.0670402,0.0879598,15,12.4,10.7264,14.0736,15,0.981961,0.981954,0.981969,15
480,4.13852,4.11528,4.16175,15,65.3733,65.162,65.5846,15,65.2825,65.0668,65.4982,15,0.0908333,0.0803148,0.101352,15,14.5333,12.8504,16.2163,15,0.981957,0.981948,0.981967,15
490,4.29036,4.26201,4.31872,15,65.4358,65.1954,65.6763,15,65.3467,65.1029,65.5904,15,0.0891667,0.0794109,0.0989224,15,14.2667,12.7057,15.8276,15,0.98195,0.981942,0.981958,15
500,4.41553,4.37422,4.45684,15,65.6583,65.2982,66.0185,15,65.5579,65.1941,65.9217,15,0.100417,0.0862676,0.114566,15,16.0667,13.8028,18.3305,15,0.981957,0.981944,0.981969,15
510,4.58412,4.55804,4.61019,15,65.4858,65.2665,65.7051,15,65.3867,65.1658,65.6075,15,0.0991667,0.0896869,0.108646,15,15.8667,14.3499,17.3834,15,0.981952,0.981943,0.981961,15
520,4.74146,4.70797,4.77494,15,65.4817,65.2051,65.7583,15,65.3683,65.0884,65.6483,15,0.113333,0.101474,0.125193,15,18.1333,16.2358,20.0308,15,0.981953,0.981943,0.981963,15
530,4.89369,4.84778,4.9396,15,65.4975,65.1052,65.8898,15,65.3871,64.9942,65.7799,15,0.110417,0.100949,0.119884,15,17.6667,16.1519,19.1815,15,0.981952,0.981942,0.981962,15
540,5.04289,5.01264,5.07315,15,65.5267,65.293,65.7604,15,65.4142,65.1711,65.6572,15,0.1125,0.0969321,0.128068,15,18,15.5091,20.4909,15,0.981953,0.981943,0.981964,15
550,5.2004,5.16881,5.23199,15,65.4567,65.2159,65.6975,15,65.3321,65.0823,65.5819,15,0.124583,0.10856,0.140607,15,19.9333,17.3696,22.4971,15,0.981956,0.981944,0.981968,15
560,5.32458,5.28751,5.36165,15,65.6988,65.4103,65.9872,15,65.5667,65.2757,65.8577,15,0.132083,0.122363,0.141804,15,21.1333,19.5781,22.6886,15,0.981959,0.98195,0.981968,15
570,5.50326,5.46653,5.54,15,65.4467,65.1754,65.7179,15,65.3204,65.042,65.5989,15,0.12625,0.111551,0.140949,15,20.2,17.8482,22.5518,15,0.981945,0.981937,0.981954,15
580,5.66119,5.62339,5.699,15,65.3946,65.1562,65.633,15,65.2558,65.0119,65.4998,15,0.13875,0.124694,0.152806,15,22.2,19.951,24.449,15,0.981952,0.981945,0.981959,15
590,5.79678,5.76827,5.82528,15,65.5971,65.3745,65.8197,15,65.4583,65.2325,65.6842,15,0.13875,0.125238,0.152262,15,22.2,20.0381,24.3619,15,0.981952,0.981943,0.981961,15
600,5.96418,5.91839,6.00997,15,65.5058,65.1647,65.847,15,65.3588,65.0063,65.7112,15,0.147083,0.129899,0.164267,15,23.5333,20.7839,26.2828,15,0.981951,0.981941,0.98196,15
610,6.11533,6.08487,6.14579,15,65.5037,65.3007,65.7068,15,65.3525,65.143,65.562,15,0.15125,0.137071,0.165429,15,24.2,21.9314,26.4686,15,0.981961,0.981951,0.981972,15
620,6.25343,6.20652,6.30034,15,65.6083,65.2652,65.9515,15,65.4433,65.0947,65.7919,15,0.165,0.150475,0.179525,15,26.4,24.076,28.724,15,0.981963,0.981953,0.981974,15
630,6.42079,6.37433,6.46725,15,65.4596,65.1604,65.7588,15,65.2938,64.9851,65.6024,15,0.165833,0.149023,0.182644,15,26.5333,23.8436,29.223,15,0.981953,0.981941,0.981964,15
640,6.55992,6.5179,6.60193,15,65.58,65.2935,65.8665,15,65.4092,65.1157,65.7026,15,0.170833,0.15596,0.185706,15,27.3333,24.9537,29.713,15,0.981963,0.981956,0.981971,15
650,6.72284,6.69094,6.75474,15,65.5067,65.2848,65.7285,15,65.3325,65.1001,65.5649,15,0.174167,0.158419,0.189914,15,27.8667,25.3471,30.3862,15,0.981957,0.981948,0.981966,15
660,6.8834,6.84941,6.91739,15,65.4529,65.2612,65.6446,15,65.265,65.0645,65.4655,15,0.187917,0.168836,0.206998,15,30.0667,27.0137,33.1196,15,0.981953,0.981943,0.981963,15
670,7.01768,6.96647,7.06889,15,65.5763,65.2775,65.875,15,65.3738,65.0691,65.6784,15,0.2025,0.183591,0.221409,15,32.4,29.3746,35.4254,15,0.981958,0.981948,0.981968,15
680,7.17553,7.12792,7.22314,15,65.5221,65.2406,65.8036,15,65.3121,65.0223,65.6019,15,0.21,0.193089,0.226911,15,33.6,30.8942,36.3058,15,0.981947,0.981938,0.981957,15
690,7.31764,7.27227,7.363,15,65.5462,65.2828,65.8097,15,65.3229,65.0571,65.5887,15,0.223333,0.206468,0.240199,15,35.7333,33.0348,38.4318,15,0.981955,0.981946,0.981965,15
700,7.45825,7.41697,7.49953,15,65.5842,65.3114,65.8569,15,65.3592,65.0766,65.6417,15,0.225,0.208672,0.241328,15,36,33.3876,38.6124,15,0.981946,0.981936,0.981956,15
710,7.63507,7.58183,7.6883,15,65.5121,65.1832,65.841,15,65.2812,64.9468,65.6157,15,0.230833,0.215137,0.246529,15,36.9333,34.422,39.4447,15,0.981951,0.981941,0.98196,15
720,7.76164,7.72176,7.80152,15,65.6754,65.4481,65.9027,15,65.4463,65.2104,65.6821,15,0.229167,0.210914,0.247419,15,36.6667,33.7463,39.587,15,0.981953,0.981945,0.981962,15
730,7.92297,7.87756,7.96839,15,65.6125,65.3106,65.9144,15,65.3513,65.0347,65.6678,15,0.26125,0.236537,0.285963,15,41.8,37.8459,45.7541,15,0.981957,0.981947,0.981968,15
740,8.09113,8.03765,8.14462,15,65.485,65.2009,65.7691,15,65.2037,64.906,65.5015,15,0.28125,0.260116,0.302384,15,45,41.6186,48.3814,15,0.981954,0.981942,0.981966,15
750,8.22822,8.15129,8.30515,15,65.6063,65.1869,66.0256,15,65.2996,64.8588,65.7404,15,0.306667,0.278788,0.334546,15,49.0667,44.606,53.5273,15,0.981957,0.981945,0.981969,15
760,8.40036,8.35745,8.44328,15,65.5408,65.3017,65.78,15,65.2375,64.9804,65.4946,15,0.303333,0.277486,0.32918,15,48.5333,44.3978,52.6689,15,0.981953,0.981945,0.981961,15
770,8.52758,8.48962,8.56553,15,65.6433,65.4306,65.8561,15,65.3329,65.1168,65.5491,15,0.310417,0.292548,0.328286,15,49.6667,46.8076,52.5257,15,0.981958,0.98195,0.981966,15
780,8.73735,8.70391,8.7708,15,65.3517,65.1379,65.5654,15,65.0329,64.7995,65.2663,15,0.31875,0.294065,0.343435,15,51,47.0504,54.9496,15,0.981946,0.981939,0.981953,15
790,8.83119,8.79036,8.87203,15,65.5637,65.3389,65.7886,15,65.2204,64.9856,65.4552,15,0.343333,0.32197,0.364697,15,54.9333,51.5151,58.3515,15,0.981954,0.981944,0.981964,15
800,8.99283,8.94971,9.03595,15,65.5588,65.3328,65.7847,15,65.2,64.9675,65.4325,15,0.35875,0.34547,0.37203,15,57.4,55.2753,59.5247,15,0.981959,0.981947,0.98197,15
810,9.15631,9.11464,9.19798,15,65.5221,65.3358,65.7083,15,65.1567,64.9631,65.3503,15,0.365417,0.348032,0.382801,15,58.4667,55.6852,61.2482,15,0.981955,0.981945,0.981965,15
820,9.32928,9.28856,9.37,15,65.4271,65.2064,65.6477,15,65.0404,64.8091,65.2717,15,0.386667,0.364367,0.408966,15,61.8667,58.2988,65.4346,15,0.981954,0.981944,0.981964,15
830,9.43866,9.37604,9.50129,15,65.6092,65.2983,65.92,15,65.2158,64.9007,65.531,15,0.393333,0.377382,0.409285,15,62.9333,60.3811,65.4855,15,0.981958,0.981947,0.981969,15
840,9.6046,9.55443,9.65478,15,65.575,65.2983,65.8517,15,65.1442,64.8602,65.4281,15,0.430833,0.409416,0.452251,15,68.9333,65.5065,72.3602,15,0.981958,0.98195,0.981966,15
850,9.76368,9.70022,9.82715,15,65.5958,65.2851,65.9066,15,65.1517,64.8264,65.477,15,0.444167,0.424055,0.464278,15,71.0667,67.8488,74.2845,15,0.981954,0.981942,0.981966,15
860,9.90286,9.84824,9.95749,15,65.6071,65.3137,65.9005,15,65.1254,64.8172,65.4336,15,0.481667,0.4569,0.506433,15,77.0667,73.1041,81.0293,15,0.981957,0.981945,0.981968,15
870,10.0718,10.0182,10.1255,15,65.5867,65.3403,65.833,15,65.0983,64.8316,65.365,15,0.488333,0.457405,0.519262,15,78.1333,73.1847,83.0819,15,0.981953,0.981942,0.981963,15
880,10.1826,10.125,10.2401,15,65.7,65.4341,65.9659,15,65.2042,64.9274,65.4809,15,0.495833,0.477486,0.51418,15,79.3333,76.3978,82.2689,15,0.981957,0.98195,0.981963,15
890,10.3376,10.2852,10.39,15,65.67,65.4309,65.9091,15,65.1471,64.8865,65.4077,15,0.522917,0.48895,0.556883,15,83.6667,78.2321,89.1013,15,0.981957,0.981946,0.981968,15
